Rt,date
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
